,timestamp,host,write_ops,write_ops_norm
142,2025-08-23 20:53:00,HOST-F52B15BB4B4D209D,24.479,-0.9626271408923871
143,2025-08-23 20:54:00,HOST-F52B15BB4B4D209D,19.991999999999997,-0.981360165496983
144,2025-08-23 20:55:00,HOST-F52B15BB4B4D209D,114.92900000000002,-0.5850024305100141
145,2025-08-23 20:56:00,HOST-F52B15BB4B4D209D,128.615,-0.5278639917450263
146,2025-08-23 20:57:00,HOST-F52B15BB4B4D209D,41.742,-0.8905548868809896
147,2025-08-23 20:58:00,HOST-F52B15BB4B4D209D,24.026,-0.9645183956608029
148,2025-08-23 20:59:00,HOST-F52B15BB4B4D209D,43.348,-0.8838499086070913
149,2025-08-23 21:00:00,HOST-F52B15BB4B4D209D,27.383,-0.9505030705888998
150,2025-08-23 21:01:00,HOST-F52B15BB4B4D209D,248.687,-0.026568754320678272
151,2025-08-23 21:02:00,HOST-F52B15BB4B4D209D,28.102999999999998,-0.94749710274506
152,2025-08-23 21:03:00,HOST-F52B15BB4B4D209D,25.298,-0.9592078524700193
153,2025-08-23 21:04:00,HOST-F52B15BB4B4D209D,132.745,-0.5106214261963342
154,2025-08-23 21:05:00,HOST-F52B15BB4B4D209D,127.128,-0.5340721503336232
155,2025-08-23 21:06:00,HOST-F52B15BB4B4D209D,33.057,-0.9268143739973068
156,2025-08-23 21:07:00,HOST-F52B15BB4B4D209D,82.8,-0.7191395705860258
157,2025-08-23 21:08:00,HOST-F52B15BB4B4D209D,147.32999999999998,-0.4497297025818853
158,2025-08-23 21:09:00,HOST-F52B15BB4B4D209D,24.829,-0.9611659065238538
159,2025-08-23 21:10:00,HOST-F52B15BB4B4D209D,23.607,-0.9662677019477041
160,2025-08-23 21:11:00,HOST-F52B15BB4B4D209D,74.947,-0.7519254948605728
161,2025-08-23 21:12:00,HOST-F52B15BB4B4D209D,37.85,-0.9068038130590791
162,2025-08-23 21:13:00,HOST-F52B15BB4B4D209D,78.22200000000001,-0.7382525161264405
